name,score,comment,date,city,score1
姨妈的鸭,5.0,春节期间最大的一场烟花是看你爸为你和地球点燃的宇宙爆炸太朋克了,2019-02-05,上海,力荐
Ou,2.0,不论从任何一种标准科幻片的华语片的华语科幻片的来看都不能称得上是部合格影片严重过度剪辑这种典型动作片剪法用在这部空间结构比较复杂的科幻片上简直是胡闹空间及动作表现极其不清轴线纷乱运送火石吴孟达死那一段有人能看清发生什么事情了吗经常错误地插入过紧的特写和过大的远景在运动方向不一致且无有效明暗对比的情况下完全无法锚定观众注意力全片仅有少量连续长镜头让人感觉空间清晰但跨越数十万的公里的建构着实费力每当镜头抽远人语一成不变地延续仿佛在看一部云淡风轻的青春片说到底这点视听手段完全无力处理刘慈欣的星系尺度超全知叙事,2019-02-05,,较差
Booige Boom,5.0,热评第一条我就呵呵了中国科幻电影为什么不值得我们打高分去鼓励非要放在国际水平线上才是客观的吗您真的有那么客观吗我看七武士漫游太空的时候我要不顾及他是那个时代的电影我会给那么高的评价吗同样都是时间轴上的事情我觉得国产这种东西给高一点评价真的没问题真的需要鼓励才能继续发展我国多少题材和类型的电影就是被您这种想法所阻碍和难以发展的向您这样的评论中国科幻电影真的是寸步难行了中国电影也会受之影响真的希望大家能明白结合我国电影发展的历史来评价国产电影,2019-02-06,,力荐
[已注销],1.0,一分画面分在一个烧石头都能做热核聚变的高科技时代会搞不清楚发动机的工作条件导致集体熄火拉全人类去死这是侮辱全人类工程技术人员和科学家的智商被否定的方案能够实现说明以前的预演就是放屁如何把方案做得完美压根就不合格可靠性可行性是怎么验证的此路不通也就没有别的补充方案了科幻并不缺乏大场面的制作虽然早已审美疲劳了最大问题是脑残的剧情它和你讲情怀和想象我只能摇摇头战狼京出现的违和感让我有点想起当年芮成钢的名言我代表亚洲除了画面科幻就一意淫片还有并不是讲国内出了个能看的科幻片就必须鼓励大于批评给个五分,2019-02-05,广州市,很差
苏妄言,1.0,这回还真不是吴京的锅而是整个团队的锅前半段尴尬后半段强行撩导演这剪辑和节奏掌握的都赶上各种笔仙碟仙了本以为特效会有亮眼的地方但整个效果并不让人满意与其说这电影是科幻电影不如说是部人伦片催泪部分说是为了让科幻片看着不生硬哎哟我去这一催更尴尬了演技担当也就达叔了所以一星我真的给得尽力了,2019-02-05,北京,很差
phoebe,4.0,宏大又动人为原著赋予了细腻的想象整体气质比美式末日片都多了一份安静和真实也有萦绕不去的悲伤最戳心的当然还是流浪地球选择带着地球寻找新的星系而不是开辟新的居住地等冰有天化为水子孙依然能看到北京上海贝加尔湖这点可真是太乡愁了看完念念不忘的并不是角色而是电影带来的挥之不去的孤独感望着头顶的太阳真是又温暖又寒冷,2019-01-20,成都市,推荐
Yu,4.0,剧情梗概太阳滚地球好的木星滚地球好的,2019-02-05,杭州市,推荐
巽,5.0,星多一星鼓励华语电影工业飞跃的节点技术剧本精神内核各方面都是全球尺度下顶级同行们的优秀学生水准可贵之处就在于作为先行者和新生代能分辨什么是好的应当学习的并用十二分的力气把它们执行出来比起科幻我更看重和感动是它作为电影本身的意义终于让我对华语电影有了一丝总是往好里去的希望执拗赤诚勇敢高贵是的甚至称得上高贵负载着沉重的文化烙印但依然元气淋漓令人击节的少年像那颗燃烧自己驱动前行的淡蓝色小球向着茫茫宇宙星辰大海出发,2019-01-22,长沙市,力荐
木卫二,2.0,木星都被你们地球人点燃了还要我说什么流浪地球挺硬但序幕往后越来越糙人物情感和煽情模式太套路中国能拍科幻片中国是主场景也不违和可强调中国心以过年回家之类的观念灌输实在吃不消举例其中几场戏上海电梯救援和初中生演讲感动全世界完全不知道在拍啥实实在在瓦解掉了开头上地出城的高大上感反复的亲人泪两行当然可以但一直用就有点无解更像反复要在现实中国和银幕科幻的联系上耍聪明这一切也可以被注释为第一次见到中国城市被毁灭云云一直来这套实在对不上地球死了几十亿人的悲剧感和极度寒冷说来说去也只是一堆数字记住电影评价也得有洛希极限,2019-02-09,北京,较差
乙小囧,5.0,这片要是美国拍的可以给分中国拍的我给分你能想象在波士顿的电影院里坐满人看完集体鼓掌的画面吗燃巨燃全程无尿点特效满分剧情瑕不掩瑜豆瓣为什么不能打星,2019-02-06,桂林市,力荐
SingLesinger,5.0,剧本的节奏处理的极其工整灵魂黑夜到第三幕的高潮迭起层层堆叠特效部分也很扎实美术在好莱坞科幻美学上有很多本土的尝试最后的太空战狼时刻也并不违和春节元素也比红海更扣档期主题希望中国科幻电影好起来,2019-01-20,上海,力荐
非常不小心,1.0,我这里有一个快速的观影指南这部电影好不好可以类比一个事情比如说华为手机好不好华为手机市占率已经有公论理性地说华为手机很好但不足以让我给华为的行为打五星所以这部电影就像另外一种华为的翻版是建立在全球化合作基础上创造的中国制造在某种底层价值观上这部电影应该体现一种向全球化致敬的底色而非电影里面数不清的回家相反在这部电影里面中国人只是表面上和全世界通力合作但实际上只是和俄国人搞起了团团伙伙电影唯一可取的地方是具象化了星辰大海只能期望更多的中国人在看过这部电影之后开始有一种真正的胸怀宇宙观有一种真正地意愿参与全球价值观建设而非所谓的一不干涉三不输出表面上顶呱呱背地里打哈哈所以从我个人价值观的角度我仍然只能给一星,2019-02-09,广州市,很差
懒懒,1.0,就真的三分不能再多了我很失望电影改编得面目全非刘慈欣最精彩的是他的科幻的形吗是吧但除了他恢弘的宇宙想象外更精彩的是对人性的洞悉和对社会形态的观察力这些电影全都自我阉割根本没打算要拍即使自我降维打算拍成美式爆米花电影却又连故事都讲不好硬挤尴尬地笑点和煽情人物全都莫名其妙的缺发动机书中有侧面描写过为什么最终计划倾向于地球派而不是飞船派电影连这一茬都不打算提难道没看过原著的人不会困惑为什么要拖着个大地球满宇宙跑而不是靠飞船高效移居吗连爆米花电影的水准都做不到为刘慈欣不值可别再想着拍三体了吧微笑最后居然还改成吴战狼的个人英雄主义吐了真的,2019-02-05,,很差
frozenmoon,3.0,从特效和技术上讲这应该是迄今为止此类中国电影的巅峰了磅礴恢宏细节营造用心故事层面比较糟糕很好奇到底出于什么原因造成几乎超过的台词都是后配的而且对不上口型明显是片子成型后彻底改词重配的这严重影响故事质量作为类型片很多讲述方式有明显问题比如人物特征不鲜明交代不清楚刘启变成刘户口这种启字的拆解为什么不交代李一一变成李长条留给谁去猜很多地方增加众多根本无意义的插科打诨自以为幽默但毫无笑点非常尴尬这个全球化的项目中中俄合作稍稍出现一句法语两句日语美国只闪现一次国旗美国的缺席出于什么原因好奇科幻特效技术有了巨大进步但技术这只是科幻电影的一部分,2019-02-05,北京,还行
汪金卫,3.0,咔嚓一下震天响来了战狼当球长带领人类救地球一场大火没咋地能有部特效还看得过去的硬科幻国产片是值得鼓励的虽步履蹒跚但至少起步了身为大刘十几年的读者观影前又读了遍原著文字的力量依旧让我感动大刘不像很多中国科幻作家那样有强烈的中国中心观而是站在全人类高度但电影只是借用了小说设定剧情已改编得面目全非注入了原著不曾有丝毫的民族主义催化剂映后吴京灵魂提问月球背面的车是哪个国家造的全场高呼中国观众激动表达高涨的爱国情绪与自豪感让我惊愕不已电影在台词节奏方面问题不少吴京的角色设定似曾相识他在太空翻滚对接高潮戏的配乐也很耳熟仿佛穿越到五年前三刷星际穿越的那天忍不住喊出那句经典台词,2019-01-29,北京,还行
孟三哥,3.0,只能说前期宣传太强势导致期望过高男一女一演技拖后腿而且想说本人非常相当不喜欢绑架型宣传的电影什么中国电影站起来了呀之类的把期望宣传立意搞那么大看了只会觉得有落差不过吴京文戏表现意外不错可惜被男主和妹妹一人拉低一星,2019-02-05,,还行
